mlbam_id,nkey,name,age,PA,xwoba,avg_best_speed,avg_swing_speed,pts_pa,prospect_name,pipeline_rank,prospect_pos,prospect_age,prospect_level,prospect_org,milb_age,milb_level,milb_PA,milb_AVG,milb_OBP,milb_SLG,milb_OPS,milb_ISO,milb_K,milb_BB,milb_HR,milb_SB,milb_bat_z,level_age_score,milb_bat_score,career_AB,career_PA,rookie_eligible,pedigree,mlb_sample,PAS,prospect_status,BI,proj_pts_600,proj_rank_600,owner
800543,josue de paula,Josue De Paula,21.1,34.0,0.435,100.415651,72.3,1.2647058823529411,Josue De Paula,6.0,OF,21.0,ALL (2),la,21.1,AA,588.0,0.3033932135728543,0.401,0.547,0.948,0.2435129740518962,0.14795918367346939,0.1377551020408163,27.0,31.0,1.2810415966697941,0.85,0.7562083193339588,24.0,34.0,True,0.95,0.7535491198182851,84.7,top-100 prospect,,,,MMM
808265,franklin arias,Franklin Arias,20.0,,,,,,Franklin Arias,3.0,SS,20.0,ALL (2),bos,20.6,AAA,188.0,0.3313253012048193,0.388,0.506,0.894,0.1746987951807229,0.14893617021276595,0.0851063829787234,6.0,4.0,0.48859556430642476,1.0,0.597719112861285,0.0,0.0,True,0.98,,81.7,top-100 prospect,,,,CH
805805,walker jenkins,Walker Jenkins,21.4,66.0,0.301,98.932748889,71.7,0.9545454545454546,Walker Jenkins,15.0,CF,21.0,ALL (4),min,21.4,AAA,307.0,0.30798479087452474,0.407,0.532,0.939,0.22433460076045628,0.1563517915309446,0.13680781758957655,12.0,17.0,1.2347964448315731,1.0,0.7469592889663146,57.0,66.0,True,0.86,0.47700170357751276,80.9,top-100 prospect,,,,FA
703601,max clark,Max Clark,21.5,180.0,0.315,98.178393559,73.5,1.0888888888888888,Max Clark,13.0,CF,21.0,ALL (2),det,21.5,AAA,418.0,0.27624309392265195,0.368,0.434,0.802,0.1574585635359116,0.15789473684210525,0.11961722488038277,11.0,21.0,0.5306919190225349,1.0,0.606138383804507,158.0,180.0,False,0.88,0.5746734809767178,79.6,top-100 prospect,5.7,587.0,126.0,CS
815908,jesus made,Jesús Made,19.0,,,,,,Jesús Made,1.0,SS,19.0,AA,mil,19.1,AA,558.0,0.2708757637474542,0.344,0.43,0.774,0.15885947046843177,0.14336917562724014,0.10215053763440861,14.0,37.0,0.5003836353205561,0.85,0.6000767270641112,0.0,0.0,True,1.0,,78.8,top-100 prospect,,,,BAMBI
815888,leo de vries,Leo De Vries,19.0,,,,,,Leo De Vries,2.0,SS,19.0,AA,oak,19.7,AA,428.0,0.2899728997289973,0.378,0.458,0.836,0.16802168021680217,0.21261682242990654,0.11448598130841121,13.0,34.0,0.587016213298355,0.85,0.617403242659671,0.0,0.0,True,0.99,,78.8,top-100 prospect,,,,Dan
806964,sebastian walcott,Sebastian Walcott,20.0,,,,,,Sebastian Walcott,9.0,DH,20.0,ALL (2),tex,20.3,AA,171.0,0.3223684210526316,0.398,0.586,0.984,0.2631578947368421,0.22807017543859648,0.09941520467836257,9.0,11.0,0.939631695975275,0.85,0.687926339195055,0.0,0.0,True,0.92,,78.1,top-100 prospect,,,,GK
806146,george lombard,George Lombard Jr.,21.1,142.0,0.289,97.967964222,72.2,0.8309859154929577,George Lombard Jr.,14.0,SS,21.0,ALL (4),nyy,21.1,AAA,262.0,0.2679425837320574,0.405,0.44,0.845,0.1722488038277512,0.21755725190839695,0.1717557251908397,6.0,10.0,0.7624561040255591,1.0,0.6524912208051118,128.0,142.0,True,0.87,0.4094264622373651,77.9,top-100 prospect,6.8,546.0,311.0,THALER
815394,theo gillen,Theo Gillen,21.0,,,,,,Theo Gillen,12.0,OF,21.0,ALL (2),tb,20.8,AA,268.0,0.28761061946902655,0.39,0.504,0.894,0.2168141592920354,0.19776119402985073,0.13432835820895522,10.0,16.0,0.9207235460711234,0.85,0.6841447092142247,0.0,0.0,True,0.89,,77.0,top-100 prospect,,,,LTTA
823787,rainiel rodriguez,Rainiel Rodriguez,19.0,,,,,,Rainiel Rodriguez,18.0,C,19.0,ALL (2),stl,19.5,AA,402.0,0.32753623188405795,0.408,0.591,0.999,0.263768115942029,0.19154228855721392,0.10199004975124377,23.0,7.0,0.9452311987225412,0.85,0.6890462397445083,0.0,0.0,True,0.83,,75.0,top-100 prospect,,,,BB
694197,angel genao,Angel Genao,22.1,129.0,0.295,100.5244008,72.3,0.7286821705426356,Angel Genao,29.0,2B,22.0,ALL (3),cle,22.1,AAA,309.0,0.30943396226415093,0.395,0.494,0.889,0.18490566037735848,0.1553398058252427,0.12297734627831715,10.0,9.0,0.7604626981503032,1.0,0.6520925396300606,118.0,129.0,True,0.72,0.5695627484383873,75.0,top-100 prospect,27.0,575.0,183.0,FA
816113,eli willits,Eli Willits,18.0,,,,,,Eli Willits,4.0,SS,18.0,ALL (3),was,18.6,A+,289.0,0.23008849557522124,0.392,0.42,0.812,0.1902654867256637,0.1903114186851211,0.18685121107266436,7.0,31.0,1.0592033728905668,0.6,0.7118406745781134,0.0,0.0,True,0.97,,74.2,top-100 prospect,,,,BAMBI
806956,ethan salas,Ethan Salas,20.1,26.0,0.159,97.516831111,69.9,0.8461538461538461,Ethan Salas,23.0,C,20.0,ALL (3),sd,20.1,AAA,105.0,0.3258426966292135,0.41,0.539,0.949,0.21348314606741572,0.09523809523809523,0.13333333333333333,3.0,3.0,1.292377466040173,1.0,0.7584754932080346,26.0,26.0,True,0.78,0.17262918796138557,73.9,top-100 prospect,,,,THALER
806957,alfredo duno,Alfredo Duno,20.0,,,,,,Alfredo Duno,22.0,C,20.0,ALL (2),cin,20.5,AA,138.0,0.32231404958677684,0.406,0.488,0.894,0.1652892561983471,0.16666666666666666,0.12318840579710146,3.0,3.0,0.7007473632462092,0.85,0.6401494726492418,0.0,0.0,True,0.79,,72.4,top-100 prospect,,,,FA
806252,ralphy velazquez,Ralphy Velazquez,21.0,,,,,,Ralphy Velazquez,32.0,1B,21.0,ALL (2),cle,21.1,AAA,365.0,0.2807570977917981,0.364,0.546,0.91,0.26498422712933756,0.20821917808219179,0.10410958904109589,22.0,1.0,0.49517850467403457,1.0,0.599035700934807,0.0,0.0,True,0.69,,71.6,top-100 prospect,,,,FA
701527,mike sirota,Mike Sirota,23.0,,,,,,Mike Sirota,16.0,CF,23.0,ALL (2),la,23.0,AA,333.0,0.2972972972972973,0.45,0.49,0.94,0.19305019305019305,0.22522522522522523,0.19519519519519518,10.0,5.0,1.1149443315263508,0.61625,0.7229888663052702,0.0,0.0,True,0.85,,70.7,top-100 prospect,,,,FA
701785,kaelen culpepper,Kaelen Culpepper,23.5,120.0,0.298,97.517046905,73.7,0.9166666666666666,Kaelen Culpepper,34.0,SS,23.0,ALL (2),min,23.5,AAA,343.0,0.2711864406779661,0.367,0.478,0.845,0.20677966101694914,0.1836734693877551,0.11370262390670553,14.0,17.0,0.6306460964423878,0.95,0.6261292192884775,109.0,120.0,True,0.6699999999999999,0.504258943781942,70.4,top-100 prospect,1.1,558.0,258.0,FA
815352,caleb bonemer,Caleb Bonemer,20.0,,,,,,Caleb Bonemer,30.0,3B,20.0,ALL (2),cws,20.7,AA,317.0,0.26136363636363635,0.379,0.545,0.924,0.2840909090909091,0.25236593059936907,0.14511041009463724,19.0,7.0,0.8079042762717997,0.85,0.66158085525436,0.0,0.0,True,0.71,,70.1,top-100 prospect,,,,FA
703155,lazaro montes,Lazaro Montes,21.7,39.0,0.37,103.690547778,76.1,1.205128205128205,Lazaro Montes,56.0,RF,21.0,ALL (3),sea,21.7,AAA,203.0,0.2742857142857143,0.369,0.571,0.94,0.29714285714285715,0.3103448275862069,0.12315270935960591,13.0,3.0,0.4109122213841931,1.0,0.5821824442768386,36.0,39.0,True,0.44999999999999996,0.9545712663259511,69.6,top-100 prospect,,,,FA
814307,zyhir hope,Zyhir Hope,21.0,,,,,,Zyhir Hope,28.0,CF,21.0,ALL (2),det,21.4,AA,564.0,0.28716904276985744,0.367,0.513,0.88,0.22606924643584522,0.25,0.1099290780141844,29.0,26.0,0.46036259533477736,0.8202500000000001,0.5920725190669555,0.0,0.0,True,0.73,,68.4,top-100 prospect,,,,FA
703197,michael arroyo,Michael Arroyo,21.7,24.0,,,,1.3333333333333333,Michael Arroyo,45.0,SS,21.0,ALL (3),sea,21.7,AAA,235.0,0.27722772277227725,0.353,0.49,0.843,0.21287128712871287,0.16170212765957448,0.08085106382978724,8.0,4.0,0.33851216651001076,1.0,0.5677024333020022,19.0,24.0,True,0.56,,66.3,top-100 prospect,,,,FA
805796,arjun nimmala,Arjun Nimmala,20.0,,,,,,Arjun Nimmala,38.0,SS,20.0,ALL (5),ana,20.7,AA,264.0,0.26991150442477874,0.371,0.509,0.88,0.23893805309734514,0.23106060606060605,0.12878787878787878,12.0,5.0,0.5663868310011463,0.85,0.6132773662002293,0.0,0.0,True,0.63,,66.1,top-100 prospect,,,,FA
808234,eduardo quintero,Eduardo Quintero,20.0,,,,,,Eduardo Quintero,20.0,OF,20.0,A+,la,20.8,A+,501.0,0.30904522613065327,0.445,0.495,0.94,0.18592964824120603,0.20359281437125748,0.17564870259481039,12.0,44.0,1.1793371683618303,0.4529999999999999,0.7358674336723661,0.0,0.0,True,0.81,,65.6,top-100 prospect,,,,FA
695491,joshua baez,Joshua Báez,23.0,108.0,0.303,101.884043529,77.5,1.1296296296296295,Joshua Báez,59.0,LF,23.0,ALL (2),stl,23.0,AAA,461.0,0.25609756097560976,0.328,0.573,0.901,0.3170731707317073,0.2950108459869848,0.08026030368763558,34.0,21.0,0.27984470940223766,1.0,0.5559689418804475,100.0,108.0,True,0.42000000000000004,0.7893242475865985,65.4,top-100 prospect,4.4,632.0,31.0,BAMBI
821270,luis pena,Luis Peña,19.0,,,,,,Luis Peña,21.0,SS,19.0,ALL (3),mil,19.6,A+,219.0,0.2978723404255319,0.384,0.42,0.804,0.12234042553191489,0.2054794520547945,0.1095890410958904,2.0,27.0,0.46145060378878994,0.5609999999999998,0.592290120757758,0.0,0.0,True,0.8,,64.3,top-100 prospect,,,,FA
829034,josuar gonzalez,Josuar Gonzalez,18.0,,,,,,Josuar Gonzalez,17.0,SS,18.0,ALL (2),sf,18.7,A,153.0,0.35658914728682173,0.444,0.566,1.01,0.20930232558139536,0.19607843137254902,0.13725490196078433,3.0,13.0,1.1666321473809096,0.3380000000000001,0.7333264294761819,0.0,0.0,True,0.84,,63.7,top-100 prospect,,,,FA
815896,emil morales,Emil Morales,19.0,,,,,,Emil Morales,24.0,SS,19.0,ALL (2),la,19.8,A+,368.0,0.28115015974440893,0.38,0.534,0.914,0.2523961661341853,0.25271739130434784,0.13043478260869565,20.0,7.0,0.44413024116280253,0.5429999999999998,0.5888260482325605,0.0,0.0,True,0.77,,62.7,top-100 prospect,,,,FA
809707,charlie condon,Charlie Condon,23.0,,,,,,Charlie Condon,58.0,1B,23.0,AAA,col,23.2,AAA,593.0,0.2732793522267207,0.39,0.51,0.9,0.23684210526315788,0.24957841483979765,0.1315345699831366,26.0,8.0,0.5399342136913269,0.9950000000000001,0.6079868427382654,0.0,0.0,True,0.43000000000000005,,62.6,top-100 prospect,,,,THALER
691181,emmanuel rodriguez,Emmanuel Rodriguez,23.3,30.0,0.366,104.753325,76.8,0.8,,,,,,,23.3,AAA,220.0,0.2616279069767442,0.414,0.5,0.914,0.23837209302325582,0.2636363636363636,0.19090909090909092,11.0,7.0,1.0024962612032486,0.9799999999999999,0.7004992522406497,29.0,30.0,True,0.15,0.966496308915389,61.8,rookie,,,,FA
815824,josiah hartshorn,Josiah Hartshorn,19.0,,,,,,Josiah Hartshorn,39.0,1B,19.0,ALL (3),chc,19.4,A+,370.0,0.2966666666666667,0.405,0.56,0.965,0.2633333333333333,0.21351351351351353,0.14594594594594595,18.0,12.0,0.8908377479607072,0.5790000000000001,0.6781675495921414,0.0,0.0,True,0.62,,60.6,top-100 prospect,,,,FA
807080,eric hartman,Eric Hartman,20.0,,,,,,Eric Hartman,42.0,OF,20.0,ALL (2),atl,20.0,AA,157.0,0.18181818181818182,0.312,0.265,0.577,0.08333333333333333,0.3057324840764331,0.14012738853503184,2.0,18.0,-0.29391234935973787,0.85,0.4412175301280524,0.0,0.0,True,0.5900000000000001,,60.4,top-100 prospect,,,,FA
821273,edward florentino,Edward Florentino,19.0,,,,,,Edward Florentino,35.0,OF,19.0,ALL (2),pit,19.6,A+,435.0,0.22841225626740946,0.354,0.49,0.844,0.2618384401114206,0.26436781609195403,0.14942528735632185,24.0,10.0,0.3752013717956508,0.5609999999999998,0.5750402743591302,0.0,0.0,True,0.6599999999999999,,59.0,top-100 prospect,,,,FA
815873,sean keys,Sean Keys,23.1,48.0,0.24,102.031529286,74.7,0.8333333333333334,,,,,,,23.1,AAA,226.0,0.3027027027027027,0.422,0.622,1.044,0.31891891891891894,0.20353982300884957,0.1415929203539823,14.0,1.0,1.3455999102385852,1.0,0.769119982047717,46.0,48.0,True,0.15,0.6104486087450313,58.6,rookie,,,,FA
