season,team,hitters_drafted,pts,pts_over_exp,beats,big_beats
2024,Some Ting Wong,7,4635.0,885.8846153846154,4,2
2024,Let's try this again,7,3577.0,407.3205128205127,3,3
2024,The Great Bambi,8,3899.0,163.8205128205127,1,1
2024,City to the Shore,9,4289.0,101.17948717948701,1,1
2024,Basketball,6,3168.0,-30.782051282051384,2,0
2024,SS Factory,11,5093.0,-134.820512820513,4,2
2024,Gotham Knights,6,2307.0,-149.52173382173385,0,0
2024,The Chosen Juan,8,3721.0,-161.6495726495727,1,0
2024,Ring the bell,12,5752.0,-469.20512820512846,2,0
2024,The Greatest Glizzy Guzzlers,8,3491.0,-595.1153846153848,4,2
2024,Brandywine Riverhounds,7,2371.0,-602.6529914529915,1,0
2024,Juiced Ballz,8,2991.0,-902.2051282051282,1,1
2025,Juiced Ballz,9,5275.0,574.1883597883599,3,0
2025,City to the Shore,9,4493.0,544.8249158249157,3,1
2025,Some Ting Wong,15,7622.0,521.7635401635401,4,2
2025,Let's try this again,7,3609.0,453.7154882154882,3,1
2025,Gotham Knights,7,3125.0,200.7717171717171,2,1
2025,Charlie Hustle,8,3375.0,54.21563251563248,2,1
2025,The Greatest Glizzy Guzzlers,11,5343.0,-165.1810726310726,2,1
2025,Basketball,6,2627.0,-236.39932659932663,1,1
2025,Ring the bell,11,5171.0,-275.48436748436745,3,1
2025,Midwest MooseKnuckle Mafia,10,5069.0,-280.28888888888883,2,1
2025,The Chosen Juan,12,4801.0,-390.0466570466571,2,0
2025,The Great Bambi,9,3618.0,-586.4672919672919,2,1
2026,The Greatest Glizzy Guzzlers,10,4828.0,568.6714082503556,4,3
2026,The Great Bambi,11,5483.0,483.70496617113184,6,1
2026,Basketball,6,3058.0,393.2626363205312,3,2
2026,City to the Shore,8,3692.0,47.74395448079679,3,0
2026,Baseball Phanatic,10,3815.0,-47.53468855536511,2,1
2026,Midwest MooseKnuckle Mafia,8,3318.0,-74.36106395019783,1,0
2026,Charlie Hustle,9,4092.0,-79.05614132422261,2,0
2026,The Real Doctor,8,3943.0,-119.60446570972863,1,1
2026,Some Ting Wong,17,7422.0,-133.2468391991307,4,2
2026,The Chosen Juan,6,2333.0,-227.79405721510977,1,0
2026,Gotham Knights,8,2646.0,-669.1127390548442,2,1
2026,Let's try this again,9,3167.0,-669.3968317599895,2,0
